yil,ay,ihracat_urun_adi,ihracat_miktar_kg,ihracat_deger_usd
2023,ŞUBAT,NAR,176740551.0,108615838.0
2023,ŞUBAT,DOMATES,53767923.0,76169748.0
2023,ŞUBAT,MANDALİNA,95038561.0,64261060.0
2023,ŞUBAT,BİBER,24440288.0,42728734.0
2023,ŞUBAT,LİMON,52161488.0,26850760.0
2023,ŞUBAT,ELMA,38480976.0,19601571.0
2023,ŞUBAT,KABAK,12103120.0,10488310.0
2023,ŞUBAT,HIYAR (SALATALIK),9418872.0,9314822.0
2023,ŞUBAT,PORTAKAL,15530803.0,8451774.0
2023,ŞUBAT,PATLICAN,1922230.0,2248082.0
2023,ŞUBAT,ÜZÜM TAZE,352819.0,231460.0
2025,ARALIK,NAR,356567938.0,408810086.0
2025,ARALIK,MANDALİNA,254687091.0,297558287.0
2025,ARALIK,LİMON,50656171.0,66242064.0
2025,ARALIK,DOMATES,42782205.0,52603944.0
2025,ARALIK,PORTAKAL,41142808.0,36074003.0
2025,ARALIK,BİBER,21744845.0,35385051.0
2025,ARALIK,HIYAR (SALATALIK),20865213.0,20796746.0
2025,ARALIK,KABAK,10088221.0,10111376.0
2025,ARALIK,ÜZÜM TAZE,7222757.0,9695306.0
2025,ARALIK,PATLICAN,2872310.0,3639774.0
2025,ARALIK,ELMA,2531360.0,2729097.0
2024,MAYIS,NAR,45267942.0,23110225.0
2024,MAYIS,DOMATES,50067120.0,28561532.0
2024,MAYIS,BİBER,15382951.0,18799471.0
2024,MAYIS,ELMA,32996529.0,17825276.0
2024,MAYIS,LİMON,28914927.0,15369919.0
2024,MAYIS,KABAK,4409874.0,4086873.0
2024,MAYIS,PATLICAN,5117963.0,2294254.0
2024,MAYIS,PORTAKAL,4571066.0,2228592.0
2024,MAYIS,HIYAR (SALATALIK),1649554.0,962562.0
2025,HAZIRAN,NAR,2392151.0,4557583.0
2025,HAZIRAN,ELMA,9888476.0,21094221.0
2025,HAZIRAN,DOMATES,19486289.0,14580333.0
2025,HAZIRAN,BİBER,9898855.0,12722559.0
2025,HAZIRAN,LİMON,2194782.0,4396506.0
2025,HAZIRAN,HIYAR (SALATALIK),1408999.0,1699102.0
2025,HAZIRAN,PATLICAN,2187611.0,1277551.0
2025,HAZIRAN,KABAK,938826.0,1115509.0
2025,TEMMUZ,NAR,583634.0,758639.0
2025,TEMMUZ,ELMA,8423307.0,20326576.0
2025,TEMMUZ,BİBER,5531156.0,9642614.0
2025,TEMMUZ,DOMATES,9877822.0,7509267.0
2025,TEMMUZ,HIYAR (SALATALIK),6503195.0,7411936.0
2025,TEMMUZ,ÜZÜM TAZE,4726949.0,7136230.0
2025,TEMMUZ,KABAK,621456.0,740453.0
2025,TEMMUZ,LİMON,571229.0,714211.0
2025,TEMMUZ,PATLICAN,435064.0,517016.0
2024,HAZIRAN,NAR,10295455.0,6631330.0
2024,HAZIRAN,ELMA,24553222.0,15972501.0
2024,HAZIRAN,BİBER,9071864.0,12577284.0
2024,HAZIRAN,DOMATES,13163796.0,8128272.0
2024,HAZIRAN,LİMON,7861564.0,5517154.0
2024,HAZIRAN,PATLICAN,2648938.0,1426420.0
2024,HAZIRAN,KABAK,955095.0,1131824.0
2024,HAZIRAN,HIYAR (SALATALIK),920336.0,1090982.0
2023,AĞUSTOS,NAR,17384032.0,12113223.0
2023,AĞUSTOS,ÜZÜM TAZE,30686667.0,25132350.0
2023,AĞUSTOS,DOMATES,39061522.0,19554443.0
2023,AĞUSTOS,BİBER,5439472.0,10207183.0
2023,AĞUSTOS,ELMA,10919952.0,6735553.0
2023,AĞUSTOS,LİMON,8692364.0,5995680.0
2023,AĞUSTOS,PORTAKAL,8333330.0,5902545.0
2023,AĞUSTOS,HIYAR (SALATALIK),4317453.0,5328985.0
2023,AĞUSTOS,KABAK,1778568.0,1364351.0
2023,AĞUSTOS,PATLICAN,1100284.0,966423.0
2024,OCAK,NAR,311458725.0,170965273.0
2024,OCAK,MANDALİNA,175227049.0,98760894.0
2024,OCAK,DOMATES,53779368.0,60448859.0
2024,OCAK,LİMON,69735925.0,37350167.0
2024,OCAK,BİBER,22814861.0,31634000.0
2024,OCAK,PORTAKAL,51154121.0,25990803.0
2024,OCAK,ELMA,31626263.0,17969628.0
2024,OCAK,KABAK,13345754.0,10203129.0
2024,OCAK,HIYAR (SALATALIK),14246763.0,9885104.0
2024,OCAK,ÜZÜM TAZE,1799391.0,1617612.0
2024,OCAK,PATLICAN,1957166.0,1439862.0
2024,NISAN,NAR,92673010.0,45719448.0
2024,NISAN,DOMATES,61401442.0,52241853.0
2024,NISAN,BİBER,21376494.0,31782515.0
2024,NISAN,LİMON,52005162.0,26061947.0
2024,NISAN,ELMA,30028558.0,15746633.0
2024,NISAN,KABAK,13747296.0,9587744.0
2024,NISAN,MANDALİNA,11267065.0,6145964.0
2024,NISAN,PORTAKAL,11984748.0,5509187.0
2024,NISAN,HIYAR (SALATALIK),7126898.0,3289757.0
2024,NISAN,PATLICAN,5287221.0,2539281.0
2023,MART,NAR,179533142.0,96818468.0
2023,MART,DOMATES,71834254.0,76582358.0
2023,MART,MANDALİNA,74387717.0,49123900.0
2023,MART,BİBER,25571709.0,45727095.0
2023,MART,LİMON,70012450.0,30663248.0
2023,MART,ELMA,65092159.0,25530648.0
2023,MART,KABAK,16947481.0,13317966.0
2023,MART,PORTAKAL,19124644.0,7034175.0
2023,MART,HIYAR (SALATALIK),7253697.0,6281740.0
2023,MART,PATLICAN,2442789.0,2072534.0
2024,AĞUSTOS,NAR,6752610.0,6213068.0
2024,AĞUSTOS,ÜZÜM TAZE,27777585.0,28449116.0
2024,AĞUSTOS,DOMATES,48303225.0,25032058.0
2024,AĞUSTOS,ELMA,20683933.0,14259458.0
2024,AĞUSTOS,BİBER,6511301.0,9424605.0
2024,AĞUSTOS,HIYAR (SALATALIK),8320068.0,8674587.0
2024,AĞUSTOS,LİMON,5818666.0,5544070.0
2024,AĞUSTOS,KABAK,915639.0,957287.0
2024,AĞUSTOS,PATLICAN,522060.0,598458.0
2026,OCAK,NAR,286627207.0,317565804.0
2026,OCAK,MANDALİNA,204633144.0,215276746.0
2026,OCAK,LİMON,44213851.0,60691259.0
2026,OCAK,DOMATES,31933234.0,48259276.0
2026,OCAK,BİBER,20203863.0,42831995.0
2026,OCAK,PORTAKAL,24527305.0,30180764.0
2026,OCAK,HIYAR (SALATALIK),12041838.0,16271396.0
2026,OCAK,KABAK,6073818.0,8306882.0
2026,OCAK,ELMA,3423426.0,3207981.0
2026,OCAK,PATLICAN,1588569.0,2811996.0
2026,OCAK,ÜZÜM TAZE,1002853.0,1350569.0
2025,EKIM,NAR,164970652.0,184974056.0
2025,EKIM,MANDALİNA,110180052.0,113369788.0
2025,EKIM,LİMON,48956313.0,65501419.0
2025,EKIM,ÜZÜM TAZE,23426938.0,29135123.0
2025,EKIM,DOMATES,23379617.0,24583840.0
2025,EKIM,BİBER,9066042.0,16892483.0
2025,EKIM,HIYAR (SALATALIK),7492006.0,7796058.0
2025,EKIM,KABAK,4976729.0,5293638.0
2025,EKIM,ELMA,2075595.0,1563843.0
2025,EKIM,PATLICAN,756923.0,972859.0
2024,EYLÜL,NAR,42971951.0,34997992.0
2024,EYLÜL,ÜZÜM TAZE,38760956.0,41926549.0
2024,EYLÜL,DOMATES,63187327.0,41575819.0
2024,EYLÜL,LİMON,38905142.0,31321329.0
2024,EYLÜL,BİBER,9152345.0,13827034.0
2024,EYLÜL,ELMA,22085007.0,12773984.0
2024,EYLÜL,PORTAKAL,3968115.0,3612451.0
2024,EYLÜL,HIYAR (SALATALIK),2505291.0,2821683.0
2024,EYLÜL,KABAK,992375.0,1344159.0
2024,EYLÜL,PATLICAN,604610.0,761116.0
2025,KASIM,NAR,323071165.0,344678259.0
2025,KASIM,ÜZÜM TAZE,14077033.0,20167154.0
2025,KASIM,ELMA,2105102.0,1735335.0
2025,KASIM,DOMATES,28283393.0,32156196.0
2025,KASIM,BİBER,15840025.0,25633335.0
2025,KASIM,HIYAR (SALATALIK),17938023.0,14784924.0
2025,KASIM,KABAK,12068246.0,10833064.0
2025,KASIM,PATLICAN,1597541.0,1637823.0
2024,KASIM,NAR,243888615.0,195511571.0
2024,KASIM,MANDALİNA,107518392.0,100413875.0
2024,KASIM,LİMON,71838860.0,48356721.0
2024,KASIM,PORTAKAL,46530578.0,33609895.0
2024,KASIM,DOMATES,23038890.0,29099420.0
2024,KASIM,BİBER,11870402.0,22828303.0
2024,KASIM,ÜZÜM TAZE,9316233.0,13739219.0
2024,KASIM,HIYAR (SALATALIK),11539176.0,11005370.0
2024,KASIM,ELMA,15839959.0,10768625.0
2024,KASIM,KABAK,9352710.0,8780059.0
2024,KASIM,PATLICAN,1665792.0,1503810.0
2025,MART,NAR,134560177.0,117259144.0
2025,MART,DOMATES,60317224.0,67206193.0
2025,MART,MANDALİNA,66821561.0,55507283.0
2025,MART,BİBER,20983602.0,47722158.0
2025,MART,LİMON,45001904.0,43050364.0
2025,MART,KABAK,13802679.0,11582961.0
2025,MART,ELMA,14664199.0,10723164.0
2025,MART,PORTAKAL,8431712.0,6777564.0
2025,MART,HIYAR (SALATALIK),6077540.0,5559063.0
2025,MART,PATLICAN,1161329.0,1605498.0
2023,EYLÜL,NAR,57246449.0,40051998.0
2023,EYLÜL,LİMON,53298740.0,36789708.0
2023,EYLÜL,ÜZÜM TAZE,38419867.0,34013129.0
2023,EYLÜL,DOMATES,51134706.0,30463403.0
2023,EYLÜL,ELMA,26345847.0,15881906.0
2023,EYLÜL,BİBER,7650762.0,13309178.0
2023,EYLÜL,HIYAR (SALATALIK),4682180.0,5806329.0
2023,EYLÜL,PORTAKAL,3887382.0,3236325.0
2023,EYLÜL,KABAK,1684315.0,1432909.0
2023,EYLÜL,PATLICAN,1040137.0,933554.0
2024,EKIM,NAR,168929361.0,126176098.0
2024,EKIM,LİMON,88749276.0,63199486.0
2024,EKIM,MANDALİNA,58258592.0,46550138.0
2024,EKIM,DOMATES,36415843.0,33845512.0
2024,EKIM,ÜZÜM TAZE,21085796.0,28085915.0
2024,EKIM,BİBER,8941618.0,16583325.0
2024,EKIM,ELMA,20942898.0,12529789.0
2024,EKIM,PORTAKAL,12363637.0,9126401.0
2024,EKIM,KABAK,2611829.0,3033582.0
2024,EKIM,HIYAR (SALATALIK),2412288.0,2595071.0
2024,EKIM,PATLICAN,1061543.0,1004040.0
2025,OCAK,NAR,233992732.0,163824639.0
2025,OCAK,MANDALİNA,137407488.0,93079033.0
2025,OCAK,DOMATES,44417371.0,50210672.0
2025,OCAK,LİMON,60226081.0,46517020.0
2025,OCAK,BİBER,18389259.0,33098605.0
2025,OCAK,ELMA,25285364.0,16764974.0
2025,OCAK,PORTAKAL,21470594.0,13704245.0
2025,OCAK,HIYAR (SALATALIK),12958928.0,12996004.0
2025,OCAK,KABAK,12883994.0,9428976.0
2025,OCAK,PATLICAN,1350747.0,1562466.0
2025,OCAK,ÜZÜM TAZE,934957.0,1219986.0
2023,TEMMUZ,NAR,28420849.0,9022633.0
2023,TEMMUZ,BİBER,6004401.0,9236939.0
2023,TEMMUZ,ÜZÜM TAZE,9901983.0,9040553.0
2023,TEMMUZ,DOMATES,8257682.0,5477255.0
2023,TEMMUZ,LİMON,17260093.0,4669976.0
2023,TEMMUZ,PORTAKAL,10518447.0,4202074.0
2023,TEMMUZ,ELMA,9590364.0,3221535.0
2023,TEMMUZ,HIYAR (SALATALIK),1889178.0,1973079.0
2023,TEMMUZ,PATLICAN,1299685.0,894934.0
2023,TEMMUZ,KABAK,936357.0,891193.0
2025,AĞUSTOS,NAR,608953.0,602210.0
2025,AĞUSTOS,ÜZÜM TAZE,25366105.0,29882735.0
2025,AĞUSTOS,DOMATES,16837833.0,11930043.0
2025,AĞUSTOS,HIYAR (SALATALIK),9587953.0,10632624.0
2025,AĞUSTOS,BİBER,5941844.0,9651614.0
2025,AĞUSTOS,ELMA,3151654.0,9358713.0
2025,AĞUSTOS,KABAK,752151.0,824958.0
2025,AĞUSTOS,PATLICAN,397015.0,541868.0
2026,ŞUBAT,NAR,193830660.0,206979622.0
2026,ŞUBAT,MANDALİNA,131785586.0,127206391.0
2026,ŞUBAT,BİBER,24207527.0,58046755.0
2026,ŞUBAT,DOMATES,36542886.0,50597779.0
2026,ŞUBAT,LİMON,26726138.0,39134309.0
2026,ŞUBAT,PORTAKAL,20989840.0,29120992.0
2026,ŞUBAT,HIYAR (SALATALIK),6760910.0,11152488.0
2026,ŞUBAT,KABAK,6264375.0,10955463.0
2026,ŞUBAT,ELMA,3910497.0,3979815.0
2026,ŞUBAT,PATLICAN,1489449.0,2749295.0
2026,ŞUBAT,ÜZÜM TAZE,219890.0,331007.0
2023,NISAN,NAR,107730437.0,56959367.0
2023,NISAN,DOMATES,74673219.0,69270608.0
2023,NISAN,BİBER,18372873.0,28821957.0
2023,NISAN,LİMON,60432048.0,28546521.0
2023,NISAN,MANDALİNA,26864524.0,17632531.0
2023,NISAN,ELMA,46418909.0,17406941.0
2023,NISAN,KABAK,14822494.0,10438589.0
2023,NISAN,PORTAKAL,12169233.0,4835447.0
2023,NISAN,HIYAR (SALATALIK),7344984.0,4826114.0
2023,NISAN,PATLICAN,3303670.0,2248228.0
2024,TEMMUZ,NAR,5819166.0,5278024.0
2024,TEMMUZ,ELMA,18283134.0,15010338.0
2024,TEMMUZ,BİBER,4947918.0,10975023.0
2024,TEMMUZ,ÜZÜM TAZE,8989787.0,10065597.0
2024,TEMMUZ,DOMATES,8947026.0,5858237.0
2024,TEMMUZ,HIYAR (SALATALIK),5567979.0,5440145.0
2024,TEMMUZ,LİMON,4707443.0,4583566.0
2024,TEMMUZ,KABAK,783103.0,996504.0
2024,TEMMUZ,PATLICAN,755099.0,698347.0
2024,MART,NAR,194591333.0,103944491.0
2024,MART,DOMATES,59928541.0,61500062.0
2024,MART,MANDALİNA,73483613.0,41263932.0
2024,MART,LİMON,72385573.0,36982861.0
2024,MART,BİBER,20688801.0,34986281.0
2024,MART,ELMA,42058825.0,22658244.0
2024,MART,PORTAKAL,29460033.0,15894512.0
2024,MART,KABAK,18016279.0,10574399.0
2024,MART,HIYAR (SALATALIK),7171403.0,4697913.0
2024,MART,PATLICAN,1737771.0,1557528.0
2025,NISAN,NAR,65822265.0,62122650.0
2025,NISAN,DOMATES,60321596.0,57807836.0
2025,NISAN,LİMON,33334003.0,34639075.0
2025,NISAN,BİBER,16954523.0,33444167.0
2025,NISAN,MANDALİNA,22246790.0,19374864.0
2025,NISAN,ELMA,17851652.0,14991296.0
2025,NISAN,KABAK,13824315.0,11868904.0
2025,NISAN,HIYAR (SALATALIK),6837978.0,4673802.0
2025,NISAN,PATLICAN,2878868.0,2117628.0
2025,NISAN,PORTAKAL,3094827.0,2065477.0
2023,KASIM,NAR,380155793.0,212212517.0
2023,KASIM,MANDALİNA,241539362.0,130041975.0
2023,KASIM,DOMATES,52982523.0,46669022.0
2023,KASIM,LİMON,79766969.0,46409864.0
2023,KASIM,PORTAKAL,38180716.0,22367201.0
2023,KASIM,ÜZÜM TAZE,16948348.0,20281936.0
2023,KASIM,BİBER,15312865.0,19783398.0
2023,KASIM,ELMA,22269781.0,13841304.0
2023,KASIM,HIYAR (SALATALIK),15909919.0,11496936.0
2023,KASIM,KABAK,12393645.0,7977582.0
2023,KASIM,PATLICAN,2405991.0,1464230.0
2023,ARALIK,NAR,461355999.0,262826291.0
2023,ARALIK,MANDALİNA,281116404.0,162746112.0
2023,ARALIK,DOMATES,63391750.0,70042031.0
2023,ARALIK,LİMON,93640988.0,51087590.0
2023,ARALIK,PORTAKAL,69972733.0,38921785.0
2023,ARALIK,BİBER,21388658.0,28349921.0
2023,ARALIK,HIYAR (SALATALIK),19114456.0,13792107.0
2023,ARALIK,ELMA,20666027.0,12226584.0
2023,ARALIK,ÜZÜM TAZE,9352089.0,11602106.0
2023,ARALIK,KABAK,11997359.0,10182070.0
2023,ARALIK,PATLICAN,2747087.0,1710908.0
2023,HAZIRAN,NAR,30297222.0,15734490.0
2023,HAZIRAN,DOMATES,21896631.0,15281485.0
2023,HAZIRAN,BİBER,14513730.0,14299884.0
2023,HAZIRAN,LİMON,25587626.0,13399336.0
2023,HAZIRAN,ELMA,21321753.0,6219392.0
2023,HAZIRAN,PATLICAN,5054100.0,2555641.0
2023,HAZIRAN,PORTAKAL,3729256.0,1822222.0
2023,HAZIRAN,KABAK,1537966.0,1404727.0
2023,HAZIRAN,HIYAR (SALATALIK),451619.0,481780.0
2025,ŞUBAT,NAR,197315661.0,152434291.0
2025,ŞUBAT,MANDALİNA,112091215.0,86850516.0
2025,ŞUBAT,DOMATES,43553114.0,44096636.0
2025,ŞUBAT,LİMON,54331922.0,43053635.0
2025,ŞUBAT,BİBER,18919289.0,34925238.0
2025,ŞUBAT,ELMA,20199158.0,14455416.0
2025,ŞUBAT,PORTAKAL,16271094.0,12762480.0
2025,ŞUBAT,HIYAR (SALATALIK),8701376.0,9156362.0
2025,ŞUBAT,KABAK,11243902.0,8433102.0
2025,ŞUBAT,PATLICAN,1022994.0,1210517.0
2025,ŞUBAT,ÜZÜM TAZE,119681.0,92400.0
2023,OCAK,NAR,247850533.0,146793262.0
2023,OCAK,MANDALİNA,147409853.0,93636613.0
2023,OCAK,DOMATES,49975083.0,51395992.0
2023,OCAK,LİMON,63350979.0,32425788.0
2023,OCAK,BİBER,21199656.0,28077926.0
2023,OCAK,ELMA,41769263.0,22020599.0
2023,OCAK,HIYAR (SALATALIK),15483755.0,11143168.0
2023,OCAK,PORTAKAL,22161047.0,10936037.0
2023,OCAK,KABAK,14423683.0,10290998.0
2023,OCAK,ÜZÜM TAZE,2619369.0,2019174.0
2023,OCAK,PATLICAN,2258965.0,1775225.0
2023,MAYIS,NAR,53724286.0,28813925.0
2023,MAYIS,DOMATES,53708751.0,38363378.0
2023,MAYIS,LİMON,42240224.0,21931932.0
2023,MAYIS,BİBER,19966340.0,21273065.0
2023,MAYIS,ELMA,41618602.0,16477788.0
2023,MAYIS,KABAK,6999891.0,5141020.0
2023,MAYIS,MANDALİNA,5750631.0,3878867.0
2023,MAYIS,PATLICAN,6143156.0,3077875.0
2023,MAYIS,PORTAKAL,4198685.0,1869927.0
2023,MAYIS,HIYAR (SALATALIK),3259571.0,1655828.0
2025,EYLÜL,NAR,5318676.0,19151315.0
2025,EYLÜL,ÜZÜM TAZE,28027663.0,30602806.0
2025,EYLÜL,LİMON,4218682.0,15092506.0
2025,EYLÜL,BİBER,8107534.0,13549694.0
2025,EYLÜL,DOMATES,16998705.0,12883837.0
2025,EYLÜL,HIYAR (SALATALIK),5555449.0,7105720.0
2025,EYLÜL,MANDALİNA,975508.0,3864882.0
2025,EYLÜL,ELMA,2244423.0,2037535.0
2025,EYLÜL,KABAK,1023869.0,1355240.0
2025,EYLÜL,PATLICAN,560548.0,807193.0
2026,MART,NAR,158973148.0,173976575.0
2026,MART,MANDALİNA,93687749.0,92206396.0
2026,MART,DOMATES,48992306.0,81334829.0
2026,MART,BİBER,19115536.0,54682804.0
2026,MART,LİMON,30876443.0,43599788.0
2026,MART,PORTAKAL,18403662.0,25318952.0
2026,MART,KABAK,11355247.0,15396959.0
2026,MART,HIYAR (SALATALIK),5402091.0,7773035.0
2026,MART,ELMA,5044161.0,5005607.0
2026,MART,PATLICAN,1021798.0,2289950.0
2026,MART,ÜZÜM TAZE,117578.0,199845.0
2025,MAYIS,NAR,18276245.0,21038967.0
2025,MAYIS,DOMATES,36513463.0,26321823.0
2025,MAYIS,ELMA,17357964.0,21534463.0
2025,MAYIS,BİBER,16055531.0,19409352.0
2025,MAYIS,LİMON,11925171.0,15098891.0
2025,MAYIS,KABAK,4754837.0,3898514.0
2025,MAYIS,MANDALİNA,3601715.0,3597419.0
2025,MAYIS,PATLICAN,4328940.0,2766772.0
2025,MAYIS,HIYAR (SALATALIK),2951904.0,1581143.0
2024,ŞUBAT,NAR,281956615.0,154490644.0
2024,ŞUBAT,MANDALİNA,155881464.0,87636872.0
2024,ŞUBAT,DOMATES,44348162.0,45221209.0
2024,ŞUBAT,LİMON,66226364.0,33740246.0
2024,ŞUBAT,BİBER,19422593.0,31123864.0
2024,ŞUBAT,PORTAKAL,40383503.0,22086583.0
2024,ŞUBAT,ELMA,36620904.0,20724044.0
2024,ŞUBAT,KABAK,15708494.0,10498468.0
2024,ŞUBAT,HIYAR (SALATALIK),8443513.0,7000299.0
2024,ŞUBAT,PATLICAN,1297344.0,1457901.0
2024,ŞUBAT,ÜZÜM TAZE,121125.0,69074.0
2024,ARALIK,NAR,236478482.0,174807402.0
2024,ARALIK,MANDALİNA,119667432.0,94417878.0
2024,ARALIK,LİMON,71810379.0,50109841.0
2024,ARALIK,DOMATES,34568581.0,36836284.0
2024,ARALIK,BİBER,16775394.0,27299008.0
2024,ARALIK,PORTAKAL,32960023.0,21362614.0
2024,ARALIK,ELMA,20141558.0,14306662.0
2024,ARALIK,HIYAR (SALATALIK),15551958.0,13702028.0
2024,ARALIK,ÜZÜM TAZE,7687640.0,10344736.0
2024,ARALIK,KABAK,12976829.0,9763148.0
2024,ARALIK,PATLICAN,1603481.0,1453421.0
2023,EKIM,NAR,213889141.0,124352760.0
2023,EKIM,LİMON,95121306.0,57090715.0
2023,EKIM,MANDALİNA,100177456.0,55282578.0
2023,EKIM,DOMATES,48791509.0,40706933.0
2023,EKIM,ÜZÜM TAZE,34828451.0,32138337.0
2023,EKIM,ELMA,27549647.0,16316915.0
2023,EKIM,BİBER,9485812.0,15380419.0
2023,EKIM,HIYAR (SALATALIK),6412371.0,4316659.0
2023,EKIM,KABAK,5553744.0,3866557.0
2023,EKIM,PORTAKAL,5491911.0,3360883.0
2023,EKIM,PATLICAN,1877682.0,1177129.0
